,Timestamp,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
0,24/11/2020 11:14:15,26,Male,Munich,Software Engineer,5.0,3.0,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
2,24/11/2020 11:14:21,29,Male,Berlin,Software Engineer,12.0,6.0,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000.0,30.0,freelancer,Temporary contract,English,101-1000,Product,Yes
4,24/11/2020 11:15:46,37,Male,Berlin,Backend Developer,17.0,6.0,Senior,C# .NET,".NET, SQL, AWS, Docker",62000.0,29.0,full-time,Unlimited contract,English,101-1000,Product,No
5,24/11/2020 11:15:53,32,Male,Berlin,DevOps,5.0,1.0,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
7,24/11/2020 11:16:44,24,Male,Berlin,Frontend Developer,5.0,1.0,Senior,Typescript,Javascript / Typescript,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
8,24/11/2020 11:17:24,29,Male,Berlin,Backend Developer,8.0,2.0,Senior,PHP,"SQL, AWS, Docker",56000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
10,24/11/2020 11:18:06,32,Female,Hamburg,Data Engineer,2.0,2.0,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
11,24/11/2020 11:18:16,49,Male,Berlin,Software Engineer,25.0,11.0,Senior,C++,"Python, C/C++, SQL",100000.0,24.0,freelancer,Temporary contract,English,11-50,Product,Yes
13,24/11/2020 11:18:26,34,Male,Berlin,Software Engineer,14.0,5.0,Senior,Typescript,"PHP, Javascript / Typescript, AWS",70000.0,28.0,full-time,Unlimited contract,English,11-50,Startup,No
16,24/11/2020 11:18:52,29,Male,Hamburg,Backend Developer,7.0,3.0,Middle,Ruby,"Go, Kubernetes, Docker",60350.0,31.0,full-time,Unlimited contract,English,1000+,Product,No
19,24/11/2020 11:20:49,34,Male,Berlin,Mobile Developer,11.0,5.0,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
21,24/11/2020 11:21:18,34,Male,Berlin,Software Architect,15.0,9.0,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000.0,24.0,full-time,Unlimited contract,English,1000+,Product,No
22,24/11/2020 11:22:57,25,Male,Berlin,Software Engineer,5.0,2.0,Senior,Javascript,"Javascript / Typescript, AWS, Docker",65000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No
23,24/11/2020 11:23:11,59,Male,Berlin,Backend Developer,30.0,30.0,Senior,Java,"Kotlin, Java / Scala, SQL",69000.0,28.0,full-time,Unlimited contract,German,101-1000,Product,No
24,24/11/2020 11:23:53,36,Male,Berlin,Software Engineer,17.0,2.0,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
25,24/11/2020 11:25:03,38,Male,Berlin,Team Lead,18.0,4.0,Lead,iOS,"Swift, AWS",80000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,Yes
26,24/11/2020 11:25:20,24,Male,Berlin,DevOps,6.0,3.0,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
29,24/11/2020 11:26:16,40,Male,Berlin,Product Manager,13.0,1.0,Senior,SQL,Python,70000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
30,24/11/2020 11:26:59,29,Male,Berlin,Software Engineer,6.0,4.0,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",85000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
31,24/11/2020 11:27:34,31,Male,Berlin,Backend Developer,5.0,1.0,Middle,java,Kotlin,65000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
33,24/11/2020 11:27:49,39,Male,Berlin,Software Engineer,8.0,5.0,Senior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,29.0,full-time,Unlimited contract,English,51-100,Startup,No
35,24/11/2020 11:28:14,33,Male,Berlin,Data Scientist,5.0,4.0,Lead,Python,"Python, R, Google Cloud, Docker",150000.0,24.0,full-time,Unlimited contract,English,1000+,Product,No
37,24/11/2020 11:29:18,30,Male,Berlin,Software Engineer,8.0,3.0,Senior,JavaScript,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
38,24/11/2020 11:29:38,28,Male,Berlin,Backend Developer,5.0,1.0,Senior,Kotlin,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000.0,25.0,full-time,Unlimited contract,English,101-1000,Startup,No
39,24/11/2020 11:29:55,38,Male,Berlin,DevOps,10.0,5.0,Senior,Go/Python,"AWS, Kubernetes, Docker",70000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
40,24/11/2020 11:30:00,29,Male,Berlin,Frontend Developer,7.0,2.0,Senior,React,Javascript / Typescript,72000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
41,24/11/2020 11:30:11,49,Male,Berlin,Software Engineer,15.0,15.0,Senior,Java,SQL,67000.0,29.0,full-time,Unlimited contract,German,1000+,Product,No
42,24/11/2020 11:30:21,32,Male,Berlin,Frontend Developer,10.0,5.0,Senior,TypeScript,"AWS, Kubernetes",105000.0,60.0,freelancer,Temporary contract,English,101-1000,Product,Yes
44,24/11/2020 11:30:45,30,Male,Berlin,Software Engineer,6.0,3.0,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",74000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
45,24/11/2020 11:31:01,48,Male,Berlin,Software Engineer,25.0,11.0,Senior,Java,"Kotlin, Java / Scala, SQL",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
47,24/11/2020 11:31:45,32,Male,Berlin,Backend Developer,3.0,1.0,Middle,Java,"AWS, Kubernetes, Docker",77000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
49,24/11/2020 11:31:51,31,Male,Berlin,Software Engineer,7.0,3.0,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
50,24/11/2020 11:32:11,35,Male,Berlin,Backend Developer,10.0,7.0,Senior,Ruby,"Go, AWS, Kubernetes, Docker, Elixir",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
53,24/11/2020 11:32:48,32,Male,Berlin,Backend Developer,8.0,5.0,Senior,PHP,"PHP, SQL, AWS, Kubernetes, Docker",65000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
54,24/11/2020 11:32:57,44,Male,Berlin,Backend Developer,12.0,3.0,Senior,Java,"SQL, Go, Kubernetes, Docker",68000.0,26.0,full-time,Unlimited contract,English,11-50,Product,No
56,24/11/2020 11:33:33,35,Male,Munich,Software Engineer,11.0,3.0,Senior,Php,"Javascript / Typescript, AWS, Kubernetes, Docker",65000.0,29.0,full-time,Unlimited contract,German,101-1000,Product,No
58,24/11/2020 11:33:46,29,Male,Berlin,Software Engineer,5.0,3.0,Senior,Go,"Java / Scala, AWS, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
59,24/11/2020 11:33:51,66,Male,Munich,Software Engineer,40.0,4.0,Lead,ruby on rails,"Javascript / Typescript, Ruby, SQL",70000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
60,24/11/2020 11:35:25,39,Female,Berlin,Software Engineer,10.0,10.0,Senior,Java,"Javascript / Typescript, SQL",70500.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
61,24/11/2020 11:36:44,28,Male,Munich,Backend Developer,5.0,4.0,Senior,Kotlin,"Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
63,24/11/2020 11:37:52,34,Male,Munich,Software Engineer,13.0,3.0,Lead,.NET,".NET, SQL",72000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
